order_id,order_date,order_time,customer_id
1,2023-06-16,21:45,1057
2,2023-04-25,19:30,1002
3,2023-02-10,21:45,1088
4,2023-03-13,12:15,1196
5,2023-03-28,11:00,1098
6,2023-01-25,15:30,1155
7,2023-03-09,22:00,1187
8,2023-04-28,18:00,1097
9,2023-01-21,18:30,1161
10,2023-06-08,23:30,1148
11,2023-02-19,21:00,1012
12,2023-06-19,13:30,1021
13,2023-03-01,23:00,1098
14,2023-03-13,17:30,1042
15,2023-04-05,15:15,1172
16,2023-03-10,21:00,1156
17,2023-06-12,12:15,1042
18,2023-04-29,16:30,1164
19,2023-06-26,18:15,1176
20,2023-03-25,23:00,1059
21,2023-01-09,22:30,1103
22,2023-03-10,11:15,1146
23,2023-03-22,13:45,1102
24,2023-06-14,17:15,1068
25,2023-02-05,13:30,1192
26,2023-05-30,16:45,1093
27,2023-02-26,12:45,1024
28,2023-01-13,23:00,1040
29,2023-06-10,12:45,1153
30,2023-01-17,16:45,1153
31,2023-04-30,18:30,1142
32,2023-01-03,20:00,1175
33,2023-05-18,22:30,1197
34,2023-06-14,15:00,1076
35,2023-04-22,12:45,1001
36,2023-03-09,18:15,1130
37,2023-01-28,23:30,1164
38,2023-05-10,19:15,1040
39,2023-04-06,22:15,1139
40,2023-05-16,10:30,1126
41,2023-01-05,11:30,1079
42,2023-03-03,10:15,1146
43,2023-01-21,11:45,1018
44,2023-05-17,22:15,1033
45,2023-06-18,17:15,1068
46,2023-05-16,23:45,1055
47,2023-05-19,22:15,1183
48,2023-03-21,16:30,1113
49,2023-05-13,17:00,1064
50,2023-02-27,11:30,1006
51,2023-05-31,18:15,1151
52,2023-02-26,10:00,1182
53,2023-06-11,10:15,1018
54,2023-01-09,23:30,1019
55,2023-05-12,13:30,1172
56,2023-05-05,13:15,1186
57,2023-05-27,19:45,1063
58,2023-05-02,22:45,1049
59,2023-01-25,11:45,1091
60,2023-04-19,16:45,1187
61,2023-01-14,20:00,1016
62,2023-04-14,21:30,1028
63,2023-03-05,13:15,1138
64,2023-04-25,12:45,1047
65,2023-03-13,17:15,1020
66,2023-04-24,22:00,1013
67,2023-06-16,18:00,1024
68,2023-03-02,12:45,1125
69,2023-05-04,13:45,1016
70,2023-02-12,16:00,1100
71,2023-03-09,22:45,1074
72,2023-04-19,21:45,1040
73,2023-02-18,14:15,1015
74,2023-05-29,21:00,1192
75,2023-03-22,10:00,1150
76,2023-05-03,18:15,1015
77,2023-05-11,11:15,1018
78,2023-06-02,11:15,1104
79,2023-01-31,19:15,1149
80,2023-06-02,10:00,1108
81,2023-06-18,19:30,1067
82,2023-02-22,20:30,1062
83,2023-03-09,16:15,1172
84,2023-06-15,14:45,1081
